SampleName,aminoglycoside,antibacterial_fatty_acid,bacitracin,beta_lactam,bicyclomycin,bleomycin,chloramphenicol,defensin,edeine,factumycin,florfenicol,fosfomycin,fusidic_acid,macrolide-lincosamide-streptogramin,multidrug,mupirocin,novobiocin,other_peptide_antibiotics,pleuromutilin_tiamulin,polymyxin,puromycin,quinolone,rifamycin,streptothricin,sulfonamide,tetracenomycin_C,tetracycline,trimethoprim,tunicamycin,vancomycin
FP_2021S2,0.023361117,0,0.015957453,0.015683296,0,0.000124787,0.002686484,0,0,0,0.000844945,0.002124774,0,0.036987512,0.073121169,0.005488484,0.001370479,0.00114604,0.00042075,0.014304366,7.49E-05,0.002178514,0.022861175,0.000199987,0.012368576,7.54E-05,0.014666183,0.001764688,0,0
FP_2021S3,0.015474261,0,0.038349067,0.015503452,0,0,0.000247857,0,0,0,0.00045605,0,0,0.081004867,0.027855707,0.002780743,0.000907757,6.70E-05,5.10E-05,0.01175508,0,0.000346642,0.005360338,0,0.047944905,0,0.003415697,0.002984243,0,0.000190044
FP_2021S4,0.025065171,0,0.029535153,0.025374817,0,0,0.002543542,0,0,0,0.000433988,8.38E-05,0,0.076992989,0.072294774,0.007584551,0.001087594,0.000161607,0,0.021949355,0.000106467,0.00095105,0.001944095,0,0.038497365,0,0.004176285,0.002524556,0,0
FP_2022S1,0.024545205,0,0.014253733,0.025964982,0,0,0.002652108,0,0,0,0.000348991,8.17E-05,0,0.03188127,0.049618552,0.005550885,0.000353626,0.000195542,0,0.017015427,3.20E-05,0.002501088,0.010601053,0.00035409,0.01312466,0,0.020348452,0.001034432,0,0
FP_2022S2,0.030291345,0,0.037043365,0.037970642,0,0,0.003074988,0,0,0,0.00148941,0.000812415,0,0.087618212,0.074028812,0.00777994,0.001520859,0.000666746,0.000482012,0.028434893,0.000136274,0.003001262,0.019097497,0,0.033511978,0.000127406,0.020491836,0.002953054,0,0.000696789
FP_2022S3,0.255978094,3.11E-05,0.113334765,0.29046277,0,0,0.050055735,7.34E-05,0,0,0.004615327,0.004165133,0,0.318805731,0.357156764,0.013425535,0.000323229,0.010929987,0.002490054,0.106715851,0,0.020713754,0.003811578,0.002790742,0.117799794,2.94E-05,0.362052307,0.035565042,0,0.004948708
FP_2022S4,0.05766797,0,0.043406525,0.07113653,0,0,0.009585294,0,0,0,0.001019222,0.000406202,0,0.052439448,0.09969214,0.01110972,0.000341296,0.001158451,3.17E-05,0.056745041,0.000163201,0.006192461,0.005705786,0.000184363,0.034011809,0,0.021122694,0.008081556,0,4.88E-05
IN_2021S2,0.029801625,0,0.062073827,0.037548995,0,0,0.003806067,0,0,0,0.002197804,0.000187074,0,0.045124576,0.057017616,0.003211401,0.000783894,0.000230588,0.000174847,0.021279854,6.28E-05,0.000606918,0.005902917,0.000104908,0.06611747,0,0.01583816,0.003882434,0,0
IN_2021S3,0.119651198,1.99E-05,0.128738483,0.127278289,0,0,0.021636402,2.19E-05,0,0,0.019699125,0.000956039,0,0.063406159,0.15206018,0.003605514,0.001586761,0.001756709,0.000692952,0.039500238,0,0.004806882,0.006057253,0.000537329,0.18900862,0,0.083926743,0.022073386,0,0.000718491
IN_2021S4,0.045059262,2.53E-05,0.130698326,0.067548326,0,0,0.004789825,0,0,0,0.004767631,0.000527582,0,0.04165791,0.080571428,0.001401089,0.00043065,0.000383749,0.000255699,0.024282824,0,0.002063409,0.003813682,0,0.066010303,0,0.028271848,0.006269019,0,4.15E-05
IN_2022S1,0.109320544,3.34E-05,0.138184244,0.130539767,0,0,0.019211375,0,0,0,0.009957186,0.000454833,0,0.15402089,0.163571354,0.001828447,0.000439153,0.000699319,2.62E-05,0.060876051,0,0.003171733,0.004569561,0.000613416,0.159022889,0,0.061714593,0.02076677,0,6.48E-05
IN_2022S2,0.041140507,5.47E-05,0.109215316,0.039492621,0,0,0.00192673,0,0,0,0.003185921,0,0,0.03837204,0.06905097,0.001761869,0.000237021,0.000479872,3.18E-05,0.026219842,0,0.002423922,0.001291085,0,0.055736418,0,0.018044241,0.005606036,0,0
IN_2022S3,0.059246308,0,0.145957488,0.08080171,0,0,0.004144591,0,0,0,0.006914712,0,0,0.044909014,0.103999444,0.0014932,0.000495052,0.000263587,0.000219234,0.036170095,0,0.001723017,0.000497886,0.000204619,0.075027203,0,0.030828624,0.00951267,0,5.28E-05
IN_2022S4,0.166176056,0,0.128008799,0.303158778,0,0,0.016617605,0,0,0,0.011470172,0.000430834,0,0.555838092,0.292959721,0.000578364,0.000246261,0.000367146,8.07E-05,0.072783088,0,0.015090422,0.004716835,0.000296981,0.20178684,0,0.063082714,0.02165758,0,0
KT_2021S2,0.031374339,4.81E-05,0.053704814,0.066202928,0,0,0.016587405,0,0,0,0.000471313,0.000608182,0,0.04740568,0.091644085,0.006780057,0.000293775,0.001376273,0.00025577,0.067990445,1.94E-05,0.021367935,0.01905067,0.00028028,0.023979688,0,0.04277456,0.004760026,0,0.000574973
KT_2021S3,0.040497277,5.89E-05,0.033267229,0.050405766,3.46E-05,0,0.008218649,4.93E-05,0,0,0.001218118,0.001384551,0,0.022780679,0.123028231,0.006619274,0.000595857,0.00235445,6.56E-05,0.053563039,0,0.028096603,0.020467413,0.000204735,0.02766066,0,0.03026049,0.005279799,0,0
KT_2021S4,0.017306112,0,0.021424485,0.031817036,0,0,0.005143463,0,0,0,5.37E-05,0.000263245,0,0.016634706,0.063338669,0.003113952,0.000307897,0.000916865,3.28E-05,0.093543115,0,0.023964315,0.004415446,0.000118174,0.018763765,0,0.022298359,0.012591034,0,0
KT_2022S1,0.032211713,0,0.040628729,0.030983443,0,0,0.006703371,8.24E-05,0,0,0.001436027,0.000713055,0,0.029771426,0.096853335,0.003368815,0.000520686,0.000153015,0.000182308,0.031457185,0,0.00623477,0.013996211,0,0.01642721,0,0.014179974,0.068454527,0,0.000374426
KT_2022S2,0.034983107,9.85E-05,0.042296228,0.060933262,0,0,0.006887904,0,0,0,0.001372634,0.001734071,0,0.066133165,0.118858653,0.004232763,0.000182157,0.002315793,0.000209037,0.067402661,0,0.035739062,0.010190852,0.000197584,0.015148318,0,0.052800685,0.009737135,0,0
KT_2022S3,0.071221762,0.000136567,0.043910185,0.076642262,0,0,0.007609242,0.000123913,0,0,0.002687238,0.000769927,0,0.039903641,0.180272693,0.002102415,0.000398977,0.001659402,0.000161455,0.079894661,0,0.031119369,0.007363177,0,0.02272425,0,0.070154183,0.012751634,0,1.00E-04
KT_2022S4,0.018090603,2.62E-05,0.00872582,0.042451222,0,0,0.00317401,0,0,0,0.000396196,0.00014929,0,0.026497696,0.068298866,0.001599611,0.000147217,0.000615281,0,0.089485919,0,0.057331843,0.000580024,9.16E-05,0.007927223,0,0.016279334,0.004771123,0,0
LT_2021S2,0.057607324,3.74E-05,0.032906842,0.054177305,0,0,0.010230503,9.51E-05,0,0,0.00099964,0.000522742,0,0.042368411,0.125625731,0.002343151,0.000152289,0.001439836,0,0.105365566,0,0.022103072,0.001833985,0.000179491,0.033247025,0,0.048416801,0.006848466,0,0
LT_2021S3,0.074134197,1.73E-05,0.032617259,0.077226844,0,0,0.017542289,0,0,0,0.001588201,0.002521478,0.000190547,0.028834564,0.13954561,0.002927204,0.000515846,0.003641143,0.000161483,0.094140231,0,0.020490172,0.001276024,0.000229606,0.053674283,2.52E-05,0.052559837,0.011653114,0,0.000150934
LT_2021S4,0.095883786,3.55E-05,0.036264125,0.113540683,0,0,0.020964333,0,0,0,0.001752116,0.000488318,0,0.069855236,0.155365952,0.003484396,0.000170923,0.003236698,5.62E-05,0.077452549,0,0.032699498,0.001810365,0.000200305,0.054233662,0,0.036829543,0.010466317,0,0.000210934
LT_2022S1,0.012037963,0,0.021900775,0.013188521,0,0,0.011880935,0,0,0,0.001460686,6.66E-05,0,0.034122512,0.072629106,0.002154624,0.000780836,0,0.000131483,0.017958959,0,0.002281947,0.003550329,0,0.005804994,0,0.023930362,0.001944114,0,0
LT_2022S2,0.054559901,1.62E-05,0.027163022,0.049072101,0,0,0.007044547,0,0,0,0.000919187,0.000574655,0,0.028941516,0.113793663,0.003045106,5.86E-05,0.000948191,7.66E-05,0.100914622,0,0.020476511,0.001059437,0.000129387,0.022201006,0,0.02929409,0.005857146,0,0.000248557
LT_2022S3,0.080260622,5.63E-05,0.029259779,0.080498021,0,0,0.015392859,1.70E-05,0,0,0.00137674,0.002174009,0,0.033987845,0.126084263,0.002889257,0.000228436,0.002627814,0.000249392,0.111758858,0,0.028877601,0.000889676,6.58E-05,0.035612025,5.33E-05,0.048522279,0.010172822,0,0.000343122
LT_2022S4,0.037808848,2.03E-05,0.012117087,0.039478566,0,0,0.007225681,0,0,0,0.000614557,0.000541615,0,0.044011522,0.100300188,0.002717971,7.48E-05,0.000920829,0.000230503,0.088211691,0,0.01832678,0.000890549,0.000164827,0.016039368,0,0.026470654,0.009427214,0,0.000762139
MW_2021S2,0.191442624,8.52E-05,0.068723206,0.134352742,0,0,0.037670652,2.42E-05,0,1.88E-05,0.008697244,0.003423876,0,0.132338208,0.196453047,0.008085521,0.003123208,0.005564893,0.001317905,0.053741145,0,0.004749024,0.013892836,0.001147682,0.129696515,1.99E-05,0.181954113,0.005001929,0,0.000560225
MW_2021S3,0.042427521,0,0.066594727,0.038269589,9.11E-05,0,0.008643581,1.91E-05,0,0,0.001726558,0.000274267,0,0.030525115,0.076730264,0.002165809,0.001617892,0.001067628,0.000589243,0.024574763,0,0.002745095,0.00604145,0.000196957,0.030287442,0.000277419,0.037067093,0.002512745,0,0.001679698
MW_2021S4,0.205004398,6.52E-05,0.114205648,0.203493694,0.000223999,0,0.046112391,0,0,0,0.010459573,0.00109173,0,0.081645357,0.206850039,0.002324157,0.001080935,0.002412367,0.000410163,0.079202733,0,0.015244177,0.00912574,0.00113568,0.165166677,0.000303081,0.16551524,0.018457994,0,0.000440228
MW_2022S1,0.187661112,0,0.058490783,0.229080796,0,0,0.043039462,0,0,0,0.002935929,0.000435322,0,0.125721482,0.162474488,0.002561637,0.000792507,0.001617519,0.000316862,0.088111862,0,0.026040714,0.003876818,0.000843528,0.129340382,0,0.135008962,0.015402419,0,0.000163763
MW_2022S2,0.180465837,0,0.081669471,0.162606397,0,0,0.027699339,0,0,0,0.00164509,0.001033704,0,0.089925921,0.19452934,0.001733191,0.000544119,0.000744117,0.000274701,0.046681667,0,0.008956872,0.004164963,0.001035305,0.091097961,5.49E-05,0.081167969,0.009564645,0,0.000199958
MW_2022S4,0.150552858,0,0.073237719,0.132873158,0,0,0.031272479,0,0,0,0.003048137,5.66E-05,0,0.08764132,0.147863507,0.002712455,0.001046858,0.001484989,0.00040616,0.07786366,0,0.008286517,0.00336009,0.000510081,0.081887939,0,0.130891067,0.013488879,0,0.000489216
NHS_2021S2,0.014117229,3.73E-05,0.022282783,0.001682821,0,0,0,0,0,0,0.000489384,0.000133584,0,0.004328733,0.03864813,0.004834647,0.002530321,0.000207439,0.00268585,0.005578219,4.56E-05,0.000153447,0.028023655,0,0.023842372,0.000104399,0.004536042,0,0,0.000935372
NHS_2021S3,0.008711939,0,0.04881671,0.01057681,0,0,0.000925355,0,0,0,0.000383238,0.001402897,7.93E-05,0.012798603,0.032806602,0.003003532,0.003120415,0.00121029,0.000535443,0.017743721,5.58E-05,0.00032539,0.002897292,0,0.013267896,0.000127296,0.012437833,0.000590946,0,0.000739085
NHS_2021S4,0.001844474,0,0.057586371,0.004305041,0,0,0.000101053,0,0,0,0,0,0,0.00716714,0.024207134,0.001500981,0.000929847,0.000241975,6.69E-05,0.018598953,0,0.000240149,0.00091934,0,0.004522367,0,0.002564787,0.000256294,0,0.000127999
NHS_2022S1,0.010932054,0,0.071578836,0.001565924,0,0,0,0,0,0,0.000103474,3.29E-05,0,0.006134617,0.030734558,0.001870366,0.000596329,4.60E-05,8.67E-05,0.0092212,2.70E-05,0.000248495,0.001896383,0,0.011892957,0,0.012400073,0.000351261,0,0
NHS_2022S2,0.007363807,0,0.053698243,0.015759133,0,0,0.001339229,6.28E-05,0,0,0.000547396,0.001488599,8.61E-05,0.01301597,0.058785942,0.005485234,0.003029705,0.000967777,0.000499171,0.022240569,7.33E-05,0.001104426,0.007902999,0,0.004593708,0,0.016727587,0.001173382,0,0.000588827
NHS_2022S3,0.00348562,0,0.11031875,0.003835141,0,0,0.000644816,0,0,0,0.000210197,0.000122187,0,0.006744985,0.031289193,0.002622635,0.000966818,0.00051348,0.000744882,0.036416612,3.17E-05,6.44E-05,0.001023646,0,0.007341957,0,0.003350245,0.000408663,0,0
SKM_2021S2,0.142876291,3.05E-05,0.071820174,0.161763904,0,0,0.03275621,0.000109505,0,0,0.004154622,0.001765339,0,0.111481777,0.130912393,0.004747876,0.001707475,0.002616361,0.000522867,0.043525247,4.66E-05,0.009946839,0.010275667,0.001055077,0.113112472,4.46E-05,0.123444652,0.01695151,0,0.000652661
SKM_2021S3,0.081186507,2.53E-05,0.058377152,0.065351737,0,0,0.009975033,2.18E-05,0.00026303,2.65E-05,0.001377531,0.001533338,0,0.038606563,0.112134412,0.003872626,0.003848579,0.002353048,0.000585567,0.026339331,0,0.002834182,0.009769515,0.000211885,0.04998694,0.000495179,0.056051194,0.003011591,0,0.002529004
SKM_2021S4,0.202589281,2.13E-05,0.073913472,0.26058238,0,0,0.047011386,0,0,0,0.005182178,0.001174945,0.000318507,0.146886121,0.177278644,0.003462114,0.000669193,0.001825344,0.000544059,0.063757968,0,0.009751408,0.008241333,0.002970528,0.167926602,0,0.192190634,0.022922095,0,0.000634342
SKM_2022S1,0.262195311,2.76E-05,0.078966425,0.386394397,0,0,0.065778898,9.80E-05,0,0,0.006238381,0.000734125,0,0.190286399,0.152235886,0.006044936,0.000312688,0.001974782,0.000920911,0.06639661,7.39E-05,0.006870836,0.00438906,0.004021765,0.19520649,0,0.28918869,0.021363193,0,0.001359759
SKM_2022S2,0.055418302,0,0.049891777,0.078344062,0,0,0.012632735,4.07E-05,0,3.24E-05,0.001740562,0.000171433,0,0.057269834,0.078214753,0.004067285,0.002283822,0.001939443,0.001238608,0.029544528,0,0.003568835,0.00798953,0.00108756,0.041541671,3.38E-05,0.071080554,0.003421909,0,0.001616715
SKM_2023S2,0.020509093,2.94E-05,0.057400289,0.02867923,0,0,0.003214906,0,0,0,0.001068971,0.000794292,0,0.032885268,0.060554382,0.000800828,0.000676538,0.001002938,0.000951879,0.02380102,0,0.001276668,0.00187394,0,0.021254933,0,0.023412095,0.002852114,0,0.000233146
SL_2021S2,0.087926606,2.24E-05,0.055041249,0.07508538,0,0,0.017456764,2.08E-05,0,0,0.00306064,0.00346048,0.000172031,0.082990637,0.105511827,0.004397497,0.004910085,0.002454075,0.001169455,0.035758982,3.05E-05,0.00272863,0.012991653,0.000103862,0.098869706,0.00013578,0.08804353,0.002418565,0,0.001526344
SL_2021S3,0.031499655,0,0.040815557,0.043027709,0,0,0.00685246,4.45E-05,0,0,0.002536313,0.001526599,0,0.038691444,0.06490842,0.002289418,0.005058489,0.001128843,0.000747293,0.017707322,7.71E-05,0.001773735,0.01070729,0.000845387,0.041629652,0.00057485,0.049728014,0.000725493,0,0.00248434
SL_2021S4,0.081527835,2.30E-05,0.089085484,0.071412776,0,0,0.015392904,0,0,0,0.005310702,0.000514735,0,0.056572483,0.117004339,0.001811917,0.001239674,0.000647437,0.001014705,0.036307431,0,0.001571169,0.003942516,0.000378172,0.08280882,0,0.068715019,0.003343435,0,9.52E-05
SL_2022S1,0.016519908,0,0.141201437,0.012160526,0,0,0.000628718,0,0,0,0.001383289,0.003211139,0,0.006346703,0.142125797,0.001436616,0.001301655,3.73E-05,6.11E-05,0.02477574,0.000109561,0.006381922,0.00553833,0,0.013677236,0,0.008569194,0.001022665,0,0.000174444
SL_2022S2,0.068614604,3.50E-05,0.064615631,0.05895214,0,0,0.014264759,0.000209407,0,0,0.000873676,0.001747849,7.09E-05,0.067456278,0.113513549,0.002450857,0.002221098,0.002374655,0.000482875,0.033864392,0,0.002282415,0.006410147,0.000522674,0.038952874,0.000219445,0.055558987,0.003378161,0,0.001252297
SL_2022S4,0.044997198,7.23E-05,0.139415493,0.075436571,2.92E-05,0,0.008138232,3.30E-05,0,0,0.002434301,0.00375774,0,0.051414292,0.226115188,0.001488726,0.001920777,0.005686371,0.000537918,0.063121156,0,0.00452813,0.006174531,0,0.032590464,5.47E-05,0.040665679,0.003428622,0,7.27E-05
SM_2021S2,0.084452386,0,0.080868171,0.068393218,0,0,0.004229697,8.47E-05,0,0,0.002640977,0.003442025,8.62E-05,0.039426171,0.1631601,0.004168511,0.001265621,0.001567293,0.000624605,0.047019533,0,0.005445264,0.004826724,0.000208202,0.048741069,5.59E-05,0.038694466,0.005942959,0,0.000100143
SM_2021S3,0.021557743,0.000168689,0.061725422,0.054173706,9.63E-05,0.000161628,0.002372611,0,0,0,0.001741734,0.003501288,0,0.025410474,0.078640875,0.003435458,0.001620188,0.00417138,0.000234805,0.042871106,0,0.002824016,0.003008307,0.000106288,0.016130738,0,0.029844692,0.002484647,0,0.000214378
SM_2021S4,0.079215676,1.99E-05,0.068117841,0.092334152,0,0,0.009621355,0,0,0,0.001636833,0.002237191,0,0.126947785,0.125559272,0.003443235,0.000596338,0.002944948,0.000395315,0.047672236,0,0.007282981,0.001794419,0.000607822,0.034342821,0,0.115698713,0.007364824,0,0.000874259
SM_2022S1,0.043599619,0,0.108450735,0.131065883,0,0,0.004092368,0,0,0,0.001867906,0.000801908,0,0.027150378,0.081136615,0.005822501,0.001507446,0.001756901,0.000148537,0.030955821,4.04E-05,0.002790959,0.004927568,0.000214995,0.034785408,0,0.031946905,0.007113967,0,0
SM_2022S2,0.036121162,2.92E-05,0.067758495,0.058231715,0,0,0.002422001,0,0,0,0.000364194,0.000882958,0,0.020966731,0.097339507,0.001878184,0.000393294,0.002972347,0.000105773,0.042921437,0,0.008172301,0.002810836,0,0.024002176,0,0.042221115,0.005197266,0,0.001447905
SM_2022S3,0.017295838,0,0.071107107,0.032242506,0,0,0.001518169,0,0,0,0.000816027,0.002635371,0,0.015054779,0.087099367,0.001297958,0.000560811,0.002578285,0.000172389,0.02643745,0,0.002967964,0.004338989,0,0.01075557,0,0.022882149,0.003723713,0,0.000282577
SM_2022S4,0.060298202,0,0.068080196,0.055625995,0,0.000143841,0.003290108,0,0,0,0.000445476,0.000802271,0,0.017454198,0.078582321,0.002180882,0.000679385,0.000824366,0.00014001,0.03740769,0,0.001001945,0.001546933,0.000102865,0.0169002,0,0.019257576,0.003675781,0,0.000239713
TC_2021S2,0.310492318,0.000110241,0.09186279,0.331411523,4.47E-05,0.000570037,0.060989745,0.000186482,0,0,0.008034682,0.003442088,0,0.227309627,0.267756396,0.012457385,0.001432806,0.004475611,0.001147015,0.069279869,0,0.011786442,0.00981187,0.002033812,0.309982922,0,0.217430969,0.022612358,0,0.002213672
TC_2021S3,0.259526906,0.00012177,0.09759098,0.274524806,0,0.000130766,0.064856957,1.80E-05,0,0,0.008066169,0.004038853,0,0.154244179,0.252225377,0.010991402,0.001273521,0.008837165,0.001509299,0.08316186,0,0.010989903,0.013434449,0.000867764,0.206740874,0,0.235263887,0.022067158,0,0.000707261
TC_2021S4,0.505436377,8.89E-05,0.07583642,0.691070243,0,0,0.149820324,0,0,0,0.004313216,0.000858012,0,0.330457021,0.327303708,0.009848008,0.000445267,0.003004449,0.001046964,0.136417097,0,0.019838938,0.023102722,0.00369731,0.344239237,0,0.357918586,0.056733602,0,0.001940223
TC_2022S1,0.388836248,6.86E-05,0.115814839,0.455677609,0,0.00026213,0.065640927,0.000168091,0,0,0.012111526,0.001921305,0,0.248509827,0.317635892,0.006023546,0.000277488,0.003650657,0.00105721,0.11347645,0,0.021575302,0.009312107,0.001692411,0.242317219,0,0.286758868,0.03154636,0,0.001004192
TC_2022S2,0.555260217,0.000130427,0.095390842,0.758092552,0,0.000194667,0.157097564,0,0,0,0.005292007,0.001256304,0.000180965,0.258846154,0.316316408,0.002266477,0.000190593,0.003435534,0.000755408,0.172502301,0,0.031549034,0.027342791,0.002563616,0.33253132,0,0.364225828,0.082267141,0,0.001025094
TC_2022S4,0.430148656,7.40E-05,0.112121082,0.421174047,0,0.000119061,0.09249051,0,0,0,0.006010477,0.007115107,8.86E-05,0.273690018,0.41292829,0.002995184,0.000250406,0.010999316,0.000993145,0.139618246,0,0.021783404,0.015656232,0.001044671,0.279387615,0,0.258129721,0.036604543,0,0.000953064